37.08812; (0.400534,1.305995,-0.779487); (0.762660,-0.170159,-0.592025,-0.197237)
37.0992; (0.402792,1.307515,-0.776767); (0.762960,-0.173263,-0.592007,-0.193392)
37.11027; (0.405187,1.308669,-0.774521); (0.763965,-0.177294,-0.592610,-0.183679)
37.12164; (0.406983,1.309337,-0.772280); (0.765267,-0.180207,-0.592586,-0.175311)
37.13273; (0.409606,1.310085,-0.769319); (0.766765,-0.181397,-0.592360,-0.168154)
37.14382; (0.412199,1.310161,-0.765403); (0.769235,-0.181072,-0.590541,-0.163562)
37.15507; (0.415714,1.311330,-0.760790); (0.771165,-0.183818,-0.587444,-0.162560)
37.16613; (0.419657,1.312872,-0.755945); (0.772948,-0.185371,-0.584229,-0.163910)
37.1773; (0.423966,1.314383,-0.750027); (0.775746,-0.186412,-0.578546,-0.169567)
37.18887; (0.428759,1.316058,-0.742965); (0.779463,-0.187242,-0.571374,-0.175811)
37.20015; (0.433958,1.317236,-0.735437); (0.783739,-0.189109,-0.563802,-0.179220)
37.21067; (0.439210,1.318488,-0.727995); (0.788001,-0.191950,-0.556787,-0.179439)
37.22231; (0.444661,1.318980,-0.719616); (0.793443,-0.195909,-0.548796,-0.175758)
37.23347; (0.450643,1.318932,-0.710185); (0.799383,-0.194989,-0.540990,-0.174057)
37.24435; (0.457122,1.319471,-0.700655); (0.805344,-0.193179,-0.532224,-0.175613)
37.25559; (0.464137,1.319243,-0.690282); (0.812221,-0.189418,-0.521954,-0.178834)
37.26667; (0.471565,1.319132,-0.679563); (0.819318,-0.187504,-0.510786,-0.180717)
37.27807; (0.478968,1.319138,-0.669411); (0.825785,-0.187485,-0.500317,-0.180586)
37.28904; (0.487470,1.318421,-0.658658); (0.832343,-0.187135,-0.489784,-0.179712)
37.30057; (0.495949,1.317611,-0.647938); (0.838883,-0.184519,-0.479677,-0.179271)
37.31219; (0.504793,1.316926,-0.637536); (0.845599,-0.181621,-0.468637,-0.179878)
37.32305; (0.513747,1.316344,-0.627145); (0.851893,-0.179969,-0.457175,-0.181331)
37.33364; (0.524344,1.315929,-0.616408); (0.858650,-0.179543,-0.443352,-0.184183)
37.34463; (0.534419,1.315364,-0.605949); (0.865188,-0.177257,-0.430343,-0.186643)
37.35614; (0.544529,1.314556,-0.595981); (0.871405,-0.174245,-0.417511,-0.189674)
37.36755; (0.554493,1.313221,-0.586207); (0.877860,-0.171368,-0.404646,-0.190412)
37.37853; (0.565041,1.312530,-0.577396); (0.883956,-0.170233,-0.391546,-0.190614)
37.38964; (0.576303,1.311933,-0.569404); (0.889184,-0.173290,-0.378051,-0.190788)
37.40081; (0.587018,1.311054,-0.560894); (0.894592,-0.173399,-0.364479,-0.191816)
37.41178; (0.597838,1.310366,-0.553795); (0.899641,-0.171682,-0.351949,-0.193141)
37.42299; (0.608309,1.309067,-0.546893); (0.903958,-0.167831,-0.341591,-0.194959)
37.4343; (0.618260,1.307427,-0.540389); (0.907612,-0.162399,-0.332436,-0.198379)
37.44591; (0.628542,1.306112,-0.534781); (0.911328,-0.158340,-0.322580,-0.200878)
37.45686; (0.638905,1.304545,-0.528779); (0.915145,-0.155190,-0.312063,-0.202589)
37.46798; (0.648288,1.303121,-0.523914); (0.918573,-0.152142,-0.302792,-0.203453)
37.47883; (0.656993,1.301420,-0.520051); (0.921796,-0.149294,-0.294763,-0.202775)
37.48999; (0.665193,1.299688,-0.516546); (0.924947,-0.146209,-0.287480,-0.201127)
